"","word","freq"
"have a good","have a good",46
"have been a","have been a",46
"i thought it","i thought it",46
"i was going","i was going",46
"if you can","if you can",46
"it can be","it can be",46
"lot of people","lot of people",46
"may not be","may not be",46
"that we have","that we have",46
"them in the","them in the",46
"to take the","to take the",46
"would love to","would love to",46
"you know what","you know what",46
"a lot more","a lot more",45
"a sense of","a sense of",45
"all of us","all of us",45
"all the way","all the way",45
"have a lot","have a lot",45
"i know i","i know i",45
"in the early","in the early",45
"is that the","is that the",45
"it's going to","it's going to",45
"on the way","on the way",45
"out to be","out to be",45
"that i can","that i can",45
"that they are","that they are",45
"the use of","the use of",45
"to do that","to do that",45
"to figure out","to figure out",45
"to see you","to see you",45
"all over the","all over the",44
"and i will","and i will",44
"bit of a","bit of a",44
"but if you","but if you",44
"by the end","by the end",44
"can be a","can be a",44
"for the past","for the past",44
"i think it's","i think it's",44
"i tried to","i tried to",44
"in the fourth","in the fourth",44
"in the third","in the third",44
"new york city","new york city",44
"of the game","of the game",44
"that you can","that you can",44
"the city of","the city of",44
"to get it","to get it",44
"to pay for","to pay for",44
"to work on","to work on",44
"would have to","would have to",44
"you for the","you for the",44
"you so much","you so much",44
"a little more","a little more",43
"a pair of","a pair of",43
"along with the","along with the",43
"am going to","am going to",43
"and a half","and a half",43
"and you can","and you can",43
"as it is","as it is",43
"at least one","at least one",43
"be on the","be on the",43
"have no idea","have no idea",43
"have to go","have to go",43
"i am going","i am going",43
"i don't have","i don't have",43
"i like to","i like to",43
"in high school","in high school",43
"out of my","out of my",43
"such as the","such as the",43
"take care of","take care of",43
"that he had","that he had",43
"that i had","that i had",43
"that i would","that i would",43
"the last few","the last few",43
"the start of","the start of",43
"to talk about","to talk about",43
"wait to see","wait to see",43
"we will be","we will be",43
"went to the","went to the",43
"as one of","as one of",42
"come up with","come up with",42
"going to the","going to the",42
"is the first","is the first",42
"the amount of","the amount of",42
"the only thing","the only thing",42
"the story of","the story of",42
"this was a","this was a",42
"to think about","to think about",42
"well as the","well as the",42
"would be the","would be the",42
"and one of","and one of",41
"back in the","back in the",41
"half of the","half of the",41
"i did not","i did not",41
"i used to","i used to",41
"i would be","i would be",41
"in other words","in other words",41
"in the back","in the back",41
"in the state","in the state",41
"it might be","it might be",41
"it's hard to","it's hard to",41
"no matter how","no matter how",41
"on the same","on the same",41
"one of his","one of his",41
"so we can","so we can",41
"so you can","so you can",41
"some of my","some of my",41
"the size of","the size of",41
"the time of","the time of",41
"there are no","there are no",41
"you are a","you are a",41
"you can do","you can do",41
"and then i","and then i",40
"but i have","but i have",40
"do you know","do you know",40
"front of the","front of the",40
"get to the","get to the",40
"i had the","i had the",40
"i like the","i like the",40
"in my head","in my head",40
"in the future","in the future",40
"it was just","it was just",40
"more of a","more of a",40
"of course the","of course the",40
"of the people","of the people",40
"of the state","of the state",40
"on the back","on the back",40
"on the floor","on the floor",40
"seem to be","seem to be",40
"thank you to","thank you to",40
"that will be","that will be",40
"the history of","the history of",40
"the lack of","the lack of",40
"the other side","the other side",40
"the way to","the way to",40
"they want to","they want to",40
"thought it was","thought it was",40
"time of the","time of the",40
"to go back","to go back",40
"trying to get","trying to get",40
"two of the","two of the",40
"all of this","all of this",39
"by the way","by the way",39
"every time i","every time i",39
"for the rest","for the rest",39
"i done28099t know","i done28099t know",39
"i love it","i love it",39
"i thought i","i thought i",39
"if i had","if i had",39
"in a few","in a few",39
"in the way","in the way",39
"is not the","is not the",39
"is the only","is the only",39
"it in a","it in a",39
"it was an","it was an",39
"make sure you","make sure you",39
"more and more","more and more",39
"on to the","on to the",39
"out in the","out in the",39
"out on the","out on the",39
"people who are","people who are",39
"the people who","the people who",39
"the white house","the white house",39
"to be on","to be on",39
"to create a","to create a",39
"to get out","to get out",39
"to have to","to have to",39
"want to go","want to go",39
"want to see","want to see",39
"a few months","a few months",38
"a result of","a result of",38
"a year ago","a year ago",38
"all of these","all of these",38
"for more than","for more than",38
"for those who","for those who",38
"for you to","for you to",38
"have to say","have to say",38
"i done28099t think","i done28099t think",38
"in st louis","in st louis",38
"in the house","in the house",38
"it's been a","it's been a",38
"men and women","men and women",38
"of the same","of the same",38
"on my way","on my way",38
"on the road","on the road",38
"parts of the","parts of the",38
"people in the","people in the",38
"said that the","said that the",38
"the chance to","the chance to",38
"the importance of","the importance of",38
"the right to","the right to",38
"the time to","the time to",38
"they have a","they have a",38
"they need to","they need to",38
"this is my","this is my",38
"to all of","to all of",38
"up for the","up for the",38
"used to be","used to be",38
"version of the","version of the",38
"was a good","was a good",38
"was a great","was a great",38
"we're going to","we're going to",38
"were able to","were able to",38
"you know that","you know that",38
"a handful of","a handful of",37
"a list of","a list of",37
"and this is","and this is",37
"but there are","but there are",37
"could have been","could have been",37
"he is a","he is a",37
"ie28099m going to","ie28099m going to",37
"in a way","in a way",37
"in the area","in the area",37
"is a very","is a very",37
"it should be","it should be",37
"that was the","that was the",37
"the best of","the best of",37
"the heart of","the heart of",37
"the kind of","the kind of",37
"the need to","the need to",37
"the other hand","the other hand",37
"time in the","time in the",37
"to be an","to be an",37
"to get my","to get my",37
"we have been","we have been",37
"when you have","when you have",37
"which is a","which is a",37
"wish i could","wish i could",37
"a few minutes","a few minutes",36
"a few more","a few more",36
"a look at","a look at",36
"a lot to","a lot to",36
"and i know","and i know",36
"as i was","as i was",36
"at some point","at some point",36
"but i was","but i was",36
"check it out","check it out",36
"for more information","for more information",36
"had to be","had to be",36
"he had a","he had a",36
"he has been","he has been",36
"he said i","he said i",36
"i do not","i do not",36
"i was so","i was so",36
"i wonder if","i wonder if",36
"in a row","in a row",36
"in the next","in the next",36
"is all about","is all about",36
"know what to","know what to",36
"little bit of","little bit of",36
"of the last","of the last",36
"of the night","of the night",36
"of the other","of the other",36
"of the week","of the week",36
"on the ground","on the ground",36
"some of them","some of them",36
"that is the","that is the",36
"that this is","that this is",36
"the most important","the most important",36
"the same way","the same way",36
"the second half","the second half",36
"the side of","the side of",36
"there have been","there have been",36
"this is what","this is what",36
"to do something","to do something",36
"to get back","to get back",36
"to see a","to see a",36
"to see it","to see it",36
"you can be","you can be",36
"you don't know","you don't know",36
"and i love","and i love",35
"at one point","at one point",35
"at the university","at the university",35
"back and forth","back and forth",35
"couple of weeks","couple of weeks",35
"don't have to","don't have to",35
"each of the","each of the",35
"for all the","for all the",35
"if you do","if you do",35
"in recent years","in recent years",35
"in the final","in the final",35
"is just a","is just a",35
"so much for","so much for",35
"the new jersey","the new jersey",35
"this kind of","this kind of",35
"this was the","this was the",35
"to all the","to all the",35
"we had to","we had to",35
"what are you","what are you",35
"with all the","with all the",35
"a bit more","a bit more",34
"but there is","but there is",34
"did you know","did you know",34
"fact that the","fact that the",34
"he would be","he would be",34
"if there is","if there is",34
"in my opinion","in my opinion",34
"in the car","in the car",34
"in the face","in the face",34
"in the right","in the right",34
"involved in the","involved in the",34
"is a little","is a little",34
"is also a","is also a",34
"me and i","me and i",34
"not to mention","not to mention",34
"of their own","of their own",34
"out of a","out of a",34
"out to the","out to the",34
"the case of","the case of",34
"the form of","the form of",34
"the level of","the level of",34
"the other day","the other day",34
"the past two","the past two",34
"this will be","this will be",34
"those of you","those of you",34
"to have the","to have the",34
"to listen to","to listen to",34
"to me and","to me and",34
"up with a","up with a",34
"want to make","want to make",34
"was on the","was on the",34
"was trying to","was trying to",34
"will continue to","will continue to",34
"you will be","you will be",34
"you're going to","you're going to",34
"a few of","a few of",33
"a good thing","a good thing",33
"along the way","along the way",33
"an opportunity to","an opportunity to",33
"and for the","and for the",33
"and his wife","and his wife",33
"and the other","and the other",33
"and they are","and they are",33
"appears to be","appears to be",33
"feel like i","feel like i",33
"get rid of","get rid of",33
"has not been","has not been",33
"i can do","i can do",33
"i can see","i can see",33
"it could be","it could be",33
"it is to","it is to",33
"just have to","just have to",33
"known as the","known as the",33
"like to see","like to see",33
"more than one","more than one",33
"of course i","of course i",33
"of the way","of the way",33
"on the first","on the first",33
"thank you so","thank you so",33
"that can be","that can be",33
"that is a","that is a",33
"that she was","that she was",33
"the idea that","the idea that",33
"the loss of","the loss of",33
"the need for","the need for",33
"to become a","to become a",33
"what i was","what i was",33
"what is the","what is the",33
"you do not","you do not",33
"a great day","a great day",32
"and there is","and there is",32
"and will be","and will be",32
"any of the","any of the",32
"but i am","but i am",32
"but this is","but this is",32
"check out the","check out the",32
"do with the","do with the",32
"don't know what","don't know what",32
"down to the","down to the",32
"going to make","going to make",32
"have to get","have to get",32
"i was able","i was able",32
"if i was","if i was",32
"in the kitchen","in the kitchen",32
"is that it","is that it",32
"it looks like","it looks like",32
"it was so","it was so",32
"look like a","look like a",32
"new york times","new york times",32
"of people who","of people who",32
"on the field","on the field",32
"she was a","she was a",32
"so much fun","so much fun",32
"so much more","so much more",32
"there are some","there are some",32
"this is one","this is one",32
"those who have","those who have",32
"to do is","to do is",32
"to the next","to the next",32
"to the point","to the point",32
"up on the","up on the",32
"was supposed to","was supposed to",32
"we have the","we have the",32
"we went to","we went to",32
"will be able","will be able",32
"will be in","will be in",32
"a matter of","a matter of",31
"and all of","and all of",31
"at the beginning","at the beginning",31
"back of the","back of the",31
"be part of","be part of",31
"couple of years","couple of years",31
"don't know how","don't know how",31
"earlier this year","earlier this year",31
"i can get","i can get",31
"i didn't want","i didn't want",31
"i had been","i had been",31
"i think we","i think we",31
"i'm not sure","i'm not sure",31
"if i were","if i were",31
"in the game","in the game",31
"is the most","is the most",31
"left in the","left in the",31
"less than a","less than a",31
"many of them","many of them",31
"me in the","me in the",31
"more than just","more than just",31
"much as i","much as i",31
"over the next","over the next",31
"seemed to be","seemed to be",31
"seems to have","seems to have",31
"that there are","that there are",31
"that they were","that they were",31
"the federal government","the federal government",31
"the first half","the first half",31
"the point of","the point of",31
"they are not","they are not",31
"to me that","to me that",31
"to think of","to think of",31
"was in a","was in a",31
"what it is","what it is",31
"when they were","when they were",31
"while i was","while i was",31
"who want to","who want to",31
"you don't have","you don't have",31
"able to get","able to get",30
"all of our","all of our",30
"all of them","all of them",30
"and all the","and all the",30
"and had a","and had a",30
"and i don't","and i don't",30
"are trying to","are trying to",30
"came up with","came up with",30
"come to the","come to the",30
"for the most","for the most",30
"he had been","he had been",30
"he has a","he has a",30
"here are some","here are some",30
"i should have","i should have",30
"i think this","i think this",30
"in an interview","in an interview",30
"in favor of","in favor of",30
"in one of","in one of",30
"is part of","is part of",30
"is such a","is such a",30
"it as a","it as a",30
"just a few","just a few",30
"more likely to","more likely to",30
"my way to","my way to",30
"one or two","one or two",30
"over to the","over to the",30
"so i am","so i am",30
"some sort of","some sort of",30
"thanks for following","thanks for following",30
"that it would","that it would",30
"that you have","that you have",30
"the first quarter","the first quarter",30
"the life of","the life of",30
"the only one","the only one",30
"the possibility of","the possibility of",30
"the result of","the result of",30
"the right thing","the right thing",30
"the st louis","the st louis",30
"the time i","the time i",30
"the way i","the way i",30
"there are many","there are many",30
"there are two","there are two",30
"they will be","they will be",30
"think about it","think about it",30
"to come to","to come to",30
"to do and","to do and",30
"to know that","to know that",30
"to pick up","to pick up",30
"to the top","to the top",30
"to use the","to use the",30
"to watch the","to watch the",30
"two years ago","two years ago",30
"were in the","were in the",30
"when i got","when i got",30
"when i saw","when i saw",30
"when it was","when it was",30
"which is the","which is the",30
"will not be","will not be",30
"you and your","you and your",30
"you are not","you are not",30
"a combination of","a combination of",29
"a time when","a time when",29
"across the country","across the country",29
"all sorts of","all sorts of",29
"an attempt to","an attempt to",29
"and i had","and i had",29
"and lots of","and lots of",29
"and we are","and we are",29
"as i can","as i can",29
"as many as","as many as",29
"as you can","as you can",29
"but i don't","but i don't",29
"can't wait for","can't wait for",29
"chairman of the","chairman of the",29
"deal with the","deal with the",29
"even though i","even though i",29
"for all of","for all of",29
"for him to","for him to",29
"for some reason","for some reason",29
"goal is to","goal is to",29
"he and his","he and his",29
"he wants to","he wants to",29
"he was in","he was in",29
"i could have","i could have",29
"if it is","if it is",29
"in response to","in response to",29
"in the new","in the new",29
"in the process","in the process",29
"in the room","in the room",29
"in this case","in this case",29
"in your life","in your life",29
"is a lot","is a lot",29
"is trying to","is trying to",29
"it has a","it has a",29
"it would have","it would have",29
"just a little","just a little",29
"let us know","let us know",29
"of the national","of the national",29
"one of these","one of these",29
"out of it","out of it",29
"said he would","said he would",29
"say that i","say that i",29
"so that i","so that i",29
"that he is","that he is",29
"that i could","that i could",29
"the best thing","the best thing",29
"the past few","the past few",29
"the state of","the state of",29
"those who are","those who are",29
"to a new","to a new",29
"to be honest","to be honest",29
"to be more","to be more",29
"to come out","to come out",29
"to find the","to find the",29
"to the world","to the world",29
"we all know","we all know",29
"when they are","when they are",29
"a great time","a great time",28
"a lack of","a lack of",28
"a little too","a little too",28
"a long way","a long way",28
"all of my","all of my",28
"and a few","and a few",28
"and i can","and i can",28
"and out of","and out of",28
"and we were","and we were",28
"at least a","at least a",28
"at this time","at this time",28
"but in the","but in the",28
"day of the","day of the",28
"did not have","did not have",28
"executive director of","executive director of",28
"feel free to","feel free to",28
"first time i","first time i",28
"for the new","for the new",28
"going to do","going to do",28
"i am in","i am in",28
"i was just","i was just",28
"in all the","in all the",28
"it was like","it was like",28
"just want to","just want to",28
"know that i","know that i",28
"of it is","of it is",28
"of the united","of the united",28
"of what i","of what i",28
"of you who","of you who",28
"on the right","on the right",28
"on the side","on the side",28
"on their own","on their own",28
"president barack obama","president barack obama",28
"tell you that","tell you that",28
"that kind of","that kind of",28
"that was a","that was a",28
"the best way","the best way",28
"the center of","the center of",28
"the face of","the face of",28
"the first round","the first round",28
"the fourth quarter","the fourth quarter",28
"the sound of","the sound of",28
"this week i","this week i",28
"this would be","this would be",28
"to give the","to give the",28
"to have been","to have been",28
"to me i","to me i",28
"to win the","to win the",28
"up at the","up at the",28
"up in a","up in a",28
"want to get","want to get",28
"wanted to be","wanted to be",28
"will always be","will always be",28
"a great deal","a great deal",27
"a total of","a total of",27
"a whole lot","a whole lot",27
"and i are","and i are",27
"and i just","and i just",27
"and there are","and there are",27
"at least i","at least i",27
"be a part","be a part",27
"be used to","be used to",27
"because it was","because it was",27
"between the two","between the two",27
"but i will","but i will",27
"could be a","could be a",27
"done28099t want to","done28099t want to",27
"first time in","first time in",27
"for a couple","for a couple",27
"get back to","get back to",27
"going to go","going to go",27
"had no idea","had no idea",27
"hall of fame","hall of fame",27
"have a few","have a few",27
"have not been","have not been",27
"how to make","how to make",27
"i hope that","i hope that",27
"i'd like to","i'd like to",27
"if i could","if i could",27
"in the meantime","in the meantime",27
"it is also","it is also",27
"it is important","it is important",27
"it may be","it may be",27
"it to be","it to be",27
"know if you","know if you",27
"like to be","like to be",27
"more of the","more of the",27
"need to make","need to make",27
"nothing to do","nothing to do",27
"of the things","of the things",27
"of them are","of them are",27
"one of our","one of our",27
"over and over","over and over",27
"place in the","place in the",27
"should not be","should not be",27
"some kind of","some kind of",27
"thanks so much","thanks so much",27
"that has been","that has been",27
"that in the","that in the",27
"the department of","the department of",27
"the one who","the one who",27
"the power of","the power of",27
"the process of","the process of",27
"the world is","the world is",27
"there would be","there would be",27
"think this is","think this is",27
"this year the","this year the",27
"to do in","to do in",27
"to do this","to do this",27
"to get some","to get some",27
"to live in","to live in",27
"to look for","to look for",27
"to share with","to share with",27
"want to know","want to know",27
"was not a","was not a",27
"well as a","well as a",27
"were going to","were going to",27
"what you are","what you are",27
"whether or not","whether or not",27
"you have any","you have any",27
"a good idea","a good idea",26
"a good time","a good time",26
"a very good","a very good",26
"a way that","a way that",26
"able to do","able to do",26
"as for the","as for the",26
"as good as","as good as",26
"at that point","at that point",26
"because it is","because it is",26
"don't have a","don't have a",26
"early in the","early in the",26
"even if you","even if you",26
"few years ago","few years ago",26
"for the second","for the second",26
"friends and family","friends and family",26
"go to a","go to a",26
"gov chris christie","gov chris christie",26
"happy new year","happy new year",26
"he did not","he did not",26
"he was not","he was not",26
"how are you","how are you",26
"i am sure","i am sure",26
"i felt like","i felt like",26
"i have not","i have not",26
"i have the","i have the",26
"i know it","i know it",26
"i know what","i know what",26
"i love that","i love that",26
"i made a","i made a",26
"i miss you","i miss you",26
"i try to","i try to",26
"in a while","in a while",26
"in his first","in his first",26
"in los angeles","in los angeles",26
"in this country","in this country",26
"in which the","in which the",26
"it is an","it is an",26
"it on the","it on the",26
"it with a","it with a",26
"lot of the","lot of the",26
"may have been","may have been",26
"must have been","must have been",26
"not sure if","not sure if",26
"of the two","of the two",26
"of time to","of time to",26
"on behalf of","on behalf of",26
"out of this","out of this",26
"said in an","said in an",26
"so if you","so if you",26
"so much to","so much to",26
"some of these","some of these",26
"spokesman for the","spokesman for the",26
"still in the","still in the",26
"that have been","that have been",26
"that i will","that i will",26
"that they have","that they have",26
"the course of","the course of",26
"the hunger games","the hunger games",26
"the one that","the one that",26
"the price of","the price of",26
"the role of","the role of",26
"the subject of","the subject of",26
"the value of","the value of",26
"the world and","the world and",26
"thing to do","thing to do",26
"time of year","time of year",26
"to be done","to be done",26
"to be seen","to be seen",26
"to do a","to do a",26
"to one of","to one of",26
"to put the","to put the",26
"to say the","to say the",26
"to see her","to see her",26
"to set up","to set up",26
"to start the","to start the",26
"to the public","to the public",26
"way to the","way to the",26
"what kind of","what kind of",26
"what you want","what you want",26
"will be on","will be on",26
"will have a","will have a",26
"with a lot","with a lot",26
"work in the","work in the",26
"world war ii","world war ii",26
"years in prison","years in prison",26
"you go to","you go to",26
"a kind of","a kind of",25
"a lot about","a lot about",25
"all of you","all of you",25
"and has been","and has been",25
"and on the","and on the",25
"are a few","are a few",25
"be a great","be a great",25
"be the first","be the first",25
"been in the","been in the",25
"best way to","best way to",25
"but they are","but they are",25
"can do it","can do it",25
"couple of days","couple of days",25
"does not have","does not have",25
"don't know if","don't know if",25
"even if it","even if it",25
"for a new","for a new",25
"getting ready for","getting ready for",25
"he is not","he is not",25
"he wanted to","he wanted to",25
"he was the","he was the",25
"here in the","here in the",25
"here is a","here is a",25
"i go to","i go to",25
"i got to","i got to",25
"i guess i","i guess i",25
"i have had","i have had",25
"i have never","i have never",25
"i know you","i know you",25
"i love this","i love this",25
"i think about","i think about",25
"i think ite28099s","i think ite28099s",25
"i used the","i used the",25
"i would love","i would love",25
"if i can","if i can",25
"in a large","in a large",25
"in a world","in a world",25
"in new jersey","in new jersey",25
"in the form","in the form",25
"is about to","is about to",25
"is that i","is that i",25
"is to be","is to be",25
"it was my","it was my",25
"kind of a","kind of a",25
"know what i","know what i",25
"last year and","last year and",25
"live in the","live in the",25
"make sure that","make sure that",25
"many of you","many of you",25
"might have been","might have been",25
"more than 100","more than 100",25
"much of a","much of a",25
"not so much","not so much",25
"of a new","of a new",25
"of the american","of the american",25
"of the car","of the car",25
"of the city","of the city",25
"on how to","on how to",25
"on the new","on the new",25
"on the phone","on the phone",25
"ready for the","ready for the",25
"ready to go","ready to go",25
"so many people","so many people",25
"some of it","some of it",25
"thanks to the","thanks to the",25
"that he has","that he has",25
"that he would","that he would",25
"that if you","that if you",25
"that is what","that is what",25
"that it will","that it will",25
"the edge of","the edge of",25
"the first day","the first day",25
"the majority of","the majority of",25
"the power to","the power to",25
"the way we","the way we",25
"the world of","the world of",25
"they can be","they can be",25
"they have to","they have to",25
"this time of","this time of",25
"thought i would","thought i would",25
"to catch up","to catch up",25
"to ensure that","to ensure that",25
"to get into","to get into",25
"to give up","to give up",25
"to go with","to go with",25
"to keep up","to keep up",25
"to return to","to return to",25
"to the right","to the right",25
"turned out to","turned out to",25
"up and down","up and down",25
"was a bit","was a bit",25
"when i get","when i get",25
"a few hours","a few hours",24
"a link to","a link to",24
"a man who","a man who",24
"a mix of","a mix of",24
"a place to","a place to",24
"a set of","a set of",24
"a ton of","a ton of",24
"a way of","a way of",24
"a year and","a year and",24
"addition to the","addition to the",24
"all kinds of","all kinds of",24
"also known as","also known as",24
"and her husband","and her husband",24
"and the rest","and the rest",24
"and we have","and we have",24
"and when i","and when i",24
